EMRE Device Manager: Chronopotentiometry

System Parameters
Date/Time,2022-08-31 19:24:51.278095


Raw Data

Data Pt,Times (s), Current (A), Potential (V)
54,5.310201,0.000010,1.774211
55,5.387075,0.000010,1.776793
56,5.468667,0.000010,1.779541
57,5.561632,0.000010,1.781625
58,5.645704,0.000010,1.785117
59,5.728904,0.000010,1.787877
60,5.813869,0.000010,1.789955
61,5.897073,0.000010,1.791998
62,5.975653,0.000010,1.794586
63,6.062326,0.000010,1.797505
64,6.146069,0.000010,1.800743
65,6.249011,-0.000010,0.721662
66,6.637753,-0.000010,0.554859
67,6.721245,-0.000010,0.515973
68,6.805627,-0.000010,0.492747
69,6.885959,-0.000010,0.476000
70,6.979878,-0.000010,0.459498
71,7.072689,-0.000010,0.447663
72,7.165590,-0.000010,0.437178
73,7.249896,-0.000010,0.428640
74,7.336966,-0.000010,0.419384
75,7.429643,-0.000010,0.412587
76,7.519226,-0.000010,0.404240
77,7.661283,-0.000010,0.393873
78,7.759614,-0.000010,0.387048
79,7.842540,-0.000010,0.381726
80,7.929484,-0.000010,0.377214
81,8.038199,-0.000010,0.369252
82,8.130279,-0.000010,0.365036
83,8.214829,-0.000010,0.359498
84,8.289922,-0.000010,0.355814
85,8.377639,-0.000010,0.349793
86,8.460869,-0.000010,0.345294
87,8.539455,-0.000010,0.341002
88,8.631325,-0.000010,0.337261
89,8.718926,-0.000010,0.331600
90,8.800103,-0.000010,0.327417
91,8.882868,-0.000010,0.323483
92,8.958877,-0.000010,0.319425
93,9.034604,-0.000010,0.316348
94,9.115805,-0.000010,0.312070
95,9.199383,-0.000010,0.307741
96,9.278020,-0.000010,0.303951
97,9.353475,-0.000010,0.301154
98,9.427494,-0.000010,0.297884
99,9.511571,-0.000010,0.294089
100,9.614386,-0.000010,0.288798
101,9.692119,-0.000010,0.285763
102,9.773570,-0.000010,0.281867
103,9.853664,-0.000010,0.278079
104,9.946368,-0.000010,0.274089
105,10.046090,-0.000010,0.269705
106,10.132542,-0.000010,0.266313
107,10.210738,-0.000010,0.263126
108,10.297786,-0.000010,0.258385
109,10.384751,-0.000010,0.255033
110,10.463441,-0.000010,0.251443
111,10.548456,-0.000010,0.248593
112,10.629893,-0.000010,0.245256
113,10.707394,-0.000010,0.241966
114,10.788412,-0.000010,0.238731
115,10.875925,-0.000010,0.234722
116,10.957427,-0.000010,0.231176
117,11.036885,-0.000010,0.228045
118,11.119876,-0.000010,0.224236
119,11.220008,-0.000010,0.220239
120,11.339598,-0.000010,0.215553
121,11.430975,-0.000010,0.213067
122,11.523639,-0.000010,0.208463
123,11.605305,-0.000010,0.205733
124,11.682728,-0.000010,0.202212
125,11.781956,-0.000010,0.199288
126,11.887574,0.000010,0.822232
127,11.986898,0.000010,1.197912
128,12.066895,0.000010,1.318217
129,12.153909,0.000010,1.398954
130,12.234519,0.000010,1.448655
131,12.326394,0.000010,1.487833
132,12.408621,0.000010,1.514323
133,12.489925,0.000010,1.534055
134,12.575354,0.000010,1.549850
135,12.659255,0.000010,1.561606
136,12.741872,0.000010,1.571691
137,12.836462,0.000010,1.582581
138,12.922677,0.000010,1.589706
139,13.003585,0.000010,1.596467
140,13.096639,0.000010,1.604295
141,13.180884,0.000010,1.609338
142,13.260860,0.000010,1.614622
143,13.342910,0.000010,1.619673
144,13.440119,0.000010,1.625778
145,13.527509,0.000010,1.631408
146,13.632961,0.000010,1.638058
147,13.731280,0.000010,1.643450
148,13.857332,0.000010,1.649795
149,13.941949,0.000010,1.653533
150,14.024470,0.000010,1.657860
151,14.154706,0.000010,1.665955
152,14.240318,0.000010,1.669261
153,14.324452,0.000010,1.673350
154,14.411698,0.000010,1.679024
155,14.492560,0.000010,1.683053
156,14.577345,0.000010,1.686830
157,14.661696,0.000010,1.690203
158,14.749671,0.000010,1.695234
159,14.832471,0.000010,1.699457
160,14.916949,0.000010,1.703143
161,15.001320,0.000010,1.706263
162,15.091414,0.000010,1.711308
163,15.177735,0.000010,1.714898
164,15.258495,0.000010,1.718292
165,15.357748,0.000010,1.722717
166,15.456110,0.000010,1.727202
167,15.545699,0.000010,1.729882
168,15.629782,0.000010,1.734089
169,15.716519,0.000010,1.737863
170,15.801806,0.000010,1.740274
171,15.886714,0.000010,1.743541
172,15.976107,0.000010,1.748011
173,16.063394,0.000010,1.750124
174,16.161076,0.000010,1.754024
175,16.252477,0.000010,1.758275
176,16.339606,0.000010,1.760903
177,16.423991,0.000010,1.763225
178,16.509827,0.000010,1.766901
179,16.591570,0.000010,1.770170
180,16.672332,0.000010,1.773014
181,16.762028,0.000010,1.775017
182,16.852755,0.000010,1.779107
183,16.970228,0.000010,1.782535
184,17.051984,0.000010,1.785571
185,17.135887,0.000010,1.788297
186,17.233196,0.000010,1.791443
187,17.318154,0.000010,1.793840
188,17.399495,0.000010,1.796169
189,17.489133,0.000010,1.798569
190,17.575715,0.000010,1.801945
191,17.674680,-0.000010,0.722877
192,18.068764,-0.000010,0.555807
193,18.152247,-0.000010,0.517231
194,18.239409,-0.000010,0.491013
195,18.330309,-0.000010,0.471303
196,18.412616,-0.000010,0.457418
197,18.501275,-0.000010,0.443641
198,18.606828,-0.000010,0.429945
199,18.704859,-0.000010,0.419088
200,18.810099,-0.000010,0.409187
201,18.892457,-0.000010,0.402179
202,18.977989,-0.000010,0.394915
203,19.078144,-0.000010,0.386945
204,19.182804,-0.000010,0.378437
205,19.283866,-0.000010,0.371275
206,19.371032,-0.000010,0.366075
207,19.459940,-0.000010,0.360315
208,19.557438,-0.000010,0.354737
209,19.641528,-0.000010,0.349139
210,19.726374,-0.000010,0.343725
211,19.827358,-0.000010,0.338035
212,19.948095,-0.000010,0.331467
213,20.031563,-0.000010,0.327587
214,20.120031,-0.000010,0.322893
215,20.215993,-0.000010,0.318397
216,20.315292,-0.000010,0.313438
217,20.401689,-0.000010,0.308545
218,20.486874,-0.000010,0.303951
219,20.570939,-0.000010,0.300391
220,20.658218,-0.000010,0.296744
221,20.737834,-0.000010,0.293083
222,20.819054,-0.000010,0.289203
223,20.894342,-0.000010,0.285874
224,20.973391,-0.000010,0.282224
225,21.056793,-0.000010,0.278597
226,21.139976,-0.000010,0.274734
227,21.218437,-0.000010,0.271552
228,21.311094,-0.000010,0.266935
229,21.388186,-0.000010,0.263193
230,21.463042,-0.000010,0.260246
231,21.548106,-0.000010,0.256403
232,21.624392,-0.000010,0.253193
233,21.715988,-0.000010,0.250483
234,21.807590,-0.000010,0.245650
235,21.886771,-0.000010,0.242434
236,21.964693,-0.000010,0.239304
237,22.043150,-0.000010,0.236370
238,22.118991,-0.000010,0.234056
239,22.196270,-0.000010,0.231111
240,22.274324,-0.000010,0.227884
241,22.362459,-0.000010,0.223923
242,22.440443,-0.000010,0.221275
243,22.524723,-0.000010,0.217315
244,22.604397,-0.000010,0.214137
245,22.683148,-0.000010,0.211511
246,22.765768,-0.000010,0.207989
247,22.842389,-0.000010,0.205608
248,22.923476,-0.000010,0.202373
249,23.003403,-0.000010,0.199106
250,23.103737,0.000010,0.818760
251,23.213128,0.000010,1.207569
252,23.300935,0.000010,1.328059
253,23.380709,0.000010,1.396583
254,23.460448,0.000010,1.444775
255,23.572866,0.000010,1.491321
256,23.650196,0.000010,1.513782
257,23.729719,0.000010,1.532410
258,23.822939,0.000010,1.550092
259,23.903438,0.000010,1.561721
260,23.984586,0.000010,1.571452
261,24.062450,0.000010,1.580084
262,24.144808,0.000010,1.587325
263,24.224896,0.000010,1.594162
264,24.322279,0.000010,1.602282
265,24.402628,0.000010,1.607886
266,24.483166,0.000010,1.613423
267,24.575290,0.000010,1.619679
268,24.653280,0.000010,1.624105
269,24.740804,0.000010,1.630278
270,24.818090,0.000010,1.634963
271,24.903870,0.000010,1.639407
272,24.996172,0.000010,1.645048
273,25.073384,0.000010,1.648978
274,25.156449,0.000010,1.654191
275,25.248110,0.000010,1.658069
276,25.331710,0.000010,1.662851
277,25.409406,0.000010,1.666970
278,25.503532,0.000010,1.672796
279,25.591665,0.000010,1.676871
280,25.677665,0.000010,1.682420
281,25.763679,0.000010,1.686597
282,25.849189,0.000010,1.690120
283,25.931773,0.000010,1.694463
284,26.015294,0.000010,1.699229
285,26.114140,0.000010,1.703857
286,26.198587,0.000010,1.708598
287,26.295010,0.000010,1.712535
288,26.386906,0.000010,1.716567
289,26.463811,0.000010,1.720619
290,26.549702,0.000010,1.723684
291,26.627608,0.000010,1.727309
292,26.720549,0.000010,1.732394
293,26.818023,0.000010,1.736498
294,26.904184,0.000010,1.739745
295,26.996154,0.000010,1.743366
296,27.081469,0.000010,1.747393
297,27.161741,0.000010,1.750521
298,27.240553,0.000010,1.753779
299,27.322111,0.000010,1.756815
300,27.403201,0.000010,1.759751
301,27.492936,0.000010,1.762224
302,27.574019,0.000010,1.765369
303,27.652365,0.000010,1.767992
304,27.745292,0.000010,1.772012
305,27.830839,0.000010,1.774346
306,27.911263,0.000010,1.777135
307,27.991396,0.000010,1.779910
308,28.070784,0.000010,1.782520
309,28.159510,0.000010,1.786714
310,28.245016,0.000010,1.789146
311,28.332028,0.000010,1.791123
312,28.420394,0.000010,1.795130
313,28.510091,0.000010,1.796753
314,28.621742,0.000010,1.801275
315,28.747876,-0.000010,0.726814
316,29.146940,-0.000010,0.557672
317,29.236201,-0.000010,0.517089
318,29.323194,-0.000010,0.492252
319,29.447019,-0.000010,0.465404
320,29.528822,-0.000010,0.451423
321,29.608305,-0.000010,0.439826
322,29.692649,-0.000010,0.428777
323,29.776515,-0.000010,0.419460
324,29.857520,-0.000010,0.411041
325,29.943358,-0.000010,0.403066
326,30.027380,-0.000010,0.394811
327,30.117208,-0.000010,0.387370
328,30.199897,-0.000010,0.381269
329,30.294716,-0.000010,0.373267
330,30.384182,-0.000010,0.367724
331,30.471128,-0.000010,0.360940
332,30.555136,-0.000010,0.355690
333,30.646093,-0.000010,0.350363
334,30.732664,-0.000010,0.344658
335,30.813325,-0.000010,0.339923
336,30.894464,-0.000010,0.335330
337,30.985163,-0.000010,0.331082
338,31.076900,-0.000010,0.325780
339,31.161794,-0.000010,0.321868
340,31.251873,-0.000010,0.316337
341,31.336333,-0.000010,0.312471
342,31.425460,-0.000010,0.308450
343,31.508760,-0.000010,0.303847
344,31.595948,-0.000010,0.299652
345,31.674262,-0.000010,0.295798
346,31.792413,-0.000010,0.290272
347,31.871336,-0.000010,0.286615
348,31.969223,-0.000010,0.282456
349,32.062844,-0.000010,0.279185
350,32.149293,-0.000010,0.274513
351,32.240128,-0.000010,0.271370
352,32.348439,-0.000010,0.266223
353,32.428240,-0.000010,0.262871
354,32.510070,-0.000010,0.259152
355,32.592684,-0.000010,0.255482
356,32.684084,-0.000010,0.252880
357,32.766763,-0.000010,0.249094
358,32.849513,-0.000010,0.245247
359,32.952600,-0.000010,0.240929
360,33.039066,-0.000010,0.238291
361,33.126372,-0.000010,0.234864
362,33.209855,-0.000010,0.230888
363,33.291076,-0.000010,0.227632
364,33.375712,-0.000010,0.224533
365,33.457624,-0.000010,0.221676
366,33.542420,-0.000010,0.219032
367,33.625827,-0.000010,0.215701
368,33.708454,-0.000010,0.212159
369,33.794187,-0.000010,0.208448
370,33.878470,-0.000010,0.205988
371,33.981625,-0.000010,0.202615
372,34.065380,-0.000010,0.198285
373,34.164213,0.000010,0.813630
374,34.260279,0.000010,1.173580
375,34.347103,0.000010,1.302719
376,34.455872,0.000010,1.396031
377,34.573681,0.000010,1.459270
378,34.656928,0.000010,1.490688
379,34.742522,0.000010,1.515979
380,34.827208,0.000010,1.533895
381,34.921003,0.000010,1.550036
382,35.033831,0.000010,1.563792
383,35.115635,0.000010,1.572771
384,35.198997,0.000010,1.581534
385,35.279165,0.000010,1.588465
386,35.377117,0.000010,1.595751
387,35.470632,0.000010,1.602659
388,35.557502,0.000010,1.608923
389,35.640822,0.000010,1.615094
390,35.725453,0.000010,1.620770
391,35.814907,0.000010,1.625018
392,35.902866,0.000010,1.631730
393,36.007647,0.000010,1.637657
394,36.098246,0.000010,1.642493
395,36.188107,0.000010,1.648095
396,36.284729,0.000010,1.654053
397,36.374343,0.000010,1.657758
398,36.455914,0.000010,1.662317
399,36.550788,0.000010,1.667772
400,36.640326,0.000010,1.673176
401,36.724351,0.000010,1.678197
402,36.810997,0.000010,1.681787
403,36.893090,0.000010,1.685745
404,36.980976,0.000010,1.691264
405,37.075765,0.000010,1.695142
406,37.161186,0.000010,1.700507
407,37.244592,0.000010,1.704891
408,37.374834,0.000010,1.709899
409,37.468216,0.000010,1.715128
410,37.558489,0.000010,1.719017
411,37.642640,0.000010,1.723518
412,37.735195,0.000010,1.726592
413,37.817767,0.000010,1.730495
414,37.914185,0.000010,1.734467
415,38.009567,0.000010,1.739181
416,38.091673,0.000010,1.742232
417,38.179181,0.000010,1.746074
418,38.282948,0.000010,1.751013
419,38.370774,0.000010,1.753742
420,38.457301,0.000010,1.756887
421,38.550397,0.000010,1.760822
422,38.639603,0.000010,1.764187
423,38.724907,0.000010,1.768052
424,38.820421,0.000010,1.770947
425,38.913896,0.000010,1.773710
426,39.019023,0.000010,1.777780
427,39.112385,0.000010,1.780747
428,39.210701,0.000010,1.784374
429,39.305588,0.000010,1.788211
430,39.400231,0.000010,1.790723
431,39.484773,0.000010,1.794111
432,39.586450,0.000010,1.797211
433,39.669699,0.000010,1.799294
434,39.756702,0.000010,1.801324
435,39.844359,-0.000010,0.731062
436,40.252913,-0.000010,0.557787
437,40.350367,-0.000010,0.516371
438,40.449203,-0.000010,0.489263
439,40.535061,-0.000010,0.470454
440,40.652736,-0.000010,0.450411
441,40.747690,-0.000010,0.437616
442,40.835031,-0.000010,0.425466
443,40.916592,-0.000010,0.416202
444,41.007245,-0.000010,0.407529
445,41.086496,-0.000010,0.399995
446,41.172451,-0.000010,0.391311
447,41.255633,-0.000010,0.384262
448,41.344531,-0.000010,0.378229
449,41.428876,-0.000010,0.371445
450,41.508832,-0.000010,0.365761
451,41.589856,-0.000010,0.360281
452,41.667060,-0.000010,0.355607
453,41.747140,-0.000010,0.350610
454,41.825966,-0.000010,0.345881
455,41.911713,-0.000010,0.339995
456,41.990985,-0.000010,0.335597
457,42.067916,-0.000010,0.331835
458,42.156462,-0.000010,0.326306
459,42.237225,-0.000010,0.322150
460,42.312824,-0.000010,0.318158
461,42.392190,-0.000010,0.314200
462,42.471970,-0.000010,0.310309
463,42.562243,-0.000010,0.306740
464,42.644352,-0.000010,0.302961
465,42.733510,-0.000010,0.297755
466,42.814899,-0.000010,0.293995
467,42.903953,-0.000010,0.290976
468,42.988445,-0.000010,0.286981
469,43.074413,-0.000010,0.282344
470,43.150465,-0.000010,0.279477
471,43.231477,-0.000010,0.275696
472,43.322018,-0.000010,0.272440
473,43.410023,-0.000010,0.268411
474,43.508844,-0.000010,0.264517
475,43.588835,-0.000010,0.261273
476,43.666299,-0.000010,0.258298
477,43.752998,-0.000010,0.253847
478,43.837695,-0.000010,0.250416
479,43.922543,-0.000010,0.247891
480,44.015252,-0.000010,0.243255
481,44.091721,-0.000010,0.240457
482,44.183927,-0.000010,0.237662
483,44.276712,-0.000010,0.233101
484,44.357954,-0.000010,0.230119
485,44.434744,-0.000010,0.226964
486,44.515138,-0.000010,0.224006
487,44.596454,-0.000010,0.220940
488,44.684385,-0.000010,0.218683
489,44.771715,-0.000010,0.214588
490,44.858449,-0.000010,0.211239
491,44.941090,-0.000010,0.208693
492,45.027155,-0.000010,0.205952
493,45.107993,-0.000010,0.203041
494,45.187505,-0.000010,0.200185
495,45.266426,-0.000010,0.196042
496,45.395930,0.000010,0.809010
497,45.483199,0.000010,1.144477
498,45.575071,0.000010,1.286245
499,45.658483,0.000010,1.364059
500,45.736769,0.000010,1.414888
501,45.819855,0.000010,1.455309
502,45.898523,0.000010,1.483930
503,46.003267,0.000010,1.513563
504,46.097028,0.000010,1.531397
505,46.183550,0.000010,1.546546
506,46.267823,0.000010,1.557689
507,46.350717,0.000010,1.566429
508,46.439455,0.000010,1.574614
509,46.536984,0.000010,1.582697
510,46.632946,0.000010,1.590605
511,46.715995,0.000010,1.596348
512,46.801721,0.000010,1.603063
513,46.880439,0.000010,1.608106
514,46.968036,0.000010,1.614597
515,47.054160,0.000010,1.618926
516,47.130909,0.000010,1.624385
517,47.223082,0.000010,1.630164
518,47.301555,0.000010,1.634412
519,47.378749,0.000010,1.638536
520,47.469805,0.000010,1.644881
521,47.550042,0.000010,1.649402
522,47.628491,0.000010,1.654066
523,47.721383,0.000010,1.658464
524,47.806511,0.000010,1.663885
525,47.898035,0.000010,1.667569
526,47.978492,0.000010,1.671907
527,48.062038,0.000010,1.676871
528,48.159206,0.000010,1.681430
529,48.280928,0.000010,1.688062
530,48.364318,0.000010,1.692911
531,48.444348,0.000010,1.696834
532,48.525410,0.000010,1.701039
533,48.608755,0.000010,1.705087
534,48.699145,0.000010,1.708204
535,48.783299,0.000010,1.713102
536,48.867060,0.000010,1.717500
537,48.946017,0.000010,1.720962
538,49.031098,0.000010,1.724442
539,49.111460,0.000010,1.728045
540,49.194273,0.000010,1.731085
541,49.279225,0.000010,1.734427
542,49.366298,0.000010,1.739399
543,49.449283,0.000010,1.742968
544,49.545327,0.000010,1.746802
545,49.628619,0.000010,1.750259
546,49.720714,0.000010,1.752809
547,49.815020,0.000010,1.756643
548,49.902925,0.000010,1.760223
549,49.995418,0.000010,1.763412
550,50.085748,0.000010,1.767499
551,50.164354,0.000010,1.770242
552,50.245650,0.000010,1.773374
553,50.323915,0.000010,1.775739
554,50.404357,0.000010,1.778701
555,50.487353,0.000010,1.781737
556,50.566892,0.000010,1.784434
557,50.647263,0.000010,1.787148
558,50.727998,0.000010,1.789819
559,50.805552,0.000010,1.791998
560,50.884227,0.000010,1.794258
561,50.972481,0.000010,1.797076
562,51.095422,0.000010,1.800310
563,51.183912,-0.000010,0.735690
564,51.583334,-0.000010,0.569059
565,51.671316,-0.000010,0.528195
566,51.750420,-0.000010,0.503654
567,51.836187,-0.000010,0.482213
568,51.915020,-0.000010,0.466924
569,51.996821,-0.000010,0.452767
570,52.085697,-0.000010,0.440525
571,52.164341,-0.000010,0.429764
572,52.245287,-0.000010,0.420185
573,52.329525,-0.000010,0.411176
574,52.419484,-0.000010,0.401013
575,52.498306,-0.000010,0.393640
576,52.581942,-0.000010,0.386513
577,52.667211,-0.000010,0.380302
578,52.745616,-0.000010,0.374030
579,52.844120,-0.000010,0.366472
580,52.922388,-0.000010,0.360730
581,53.018285,-0.000010,0.354139
582,53.124760,-0.000010,0.348011
583,53.212215,-0.000010,0.343106
584,53.298958,-0.000010,0.337281
585,53.411682,-0.000010,0.331833
586,53.498243,-0.000010,0.326145
587,53.576901,-0.000010,0.322289
588,53.656923,-0.000010,0.318098
589,53.734758,-0.000010,0.314540
590,53.817477,-0.000010,0.310127
591,53.901787,-0.000010,0.306102
592,53.985937,-0.000010,0.302728
593,54.079025,-0.000010,0.297665
594,54.169780,-0.000010,0.294559
595,54.301995,-0.000010,0.287677
596,54.381159,-0.000010,0.284170
597,54.462571,-0.000010,0.280718
598,54.541947,-0.000010,0.277156
599,54.626041,-0.000010,0.274294
600,54.713916,-0.000010,0.270493
601,54.807688,-0.000010,0.266841
602,54.899152,-0.000010,0.262272
603,55.003096,-0.000010,0.258176
604,55.107316,-0.000010,0.254685
605,55.189159,-0.000010,0.251625
606,55.269904,-0.000010,0.248436
607,55.352304,-0.000010,0.245097
608,55.435066,-0.000010,0.241501
609,55.526416,-0.000010,0.238086
610,55.614955,-0.000010,0.234605
611,55.694095,-0.000010,0.231869
612,55.791922,-0.000010,0.228436
613,55.873995,-0.000010,0.225201
614,55.966966,-0.000010,0.221634
615,56.055782,-0.000010,0.218088
616,56.158206,-0.000010,0.213884
617,56.250542,-0.000010,0.211480
618,56.334930,-0.000010,0.207991
619,56.414565,-0.000010,0.205272
620,56.506408,-0.000010,0.201853
621,56.598818,-0.000010,0.198435
622,56.698790,0.000010,0.806418
623,56.806869,0.000010,1.178682
624,56.887447,0.000010,1.291001
625,56.983321,0.000010,1.373177
626,57.072656,0.000010,1.427230
627,57.160889,0.000010,1.463552
628,57.284032,0.000010,1.501464
629,57.365350,0.000010,1.520034
630,57.451576,0.000010,1.536589
631,57.540197,0.000010,1.547651
632,57.624363,0.000010,1.557807
633,57.721879,0.000010,1.567524
634,57.823232,0.000010,1.576665
635,57.921971,0.000010,1.584597
636,58.008264,0.000010,1.592355
637,58.090728,0.000010,1.598770
638,58.172718,0.000010,1.604294
639,58.258017,0.000010,1.609084
640,58.349170,0.000010,1.615680
641,58.445242,0.000010,1.620620
642,58.528117,0.000010,1.626480
643,58.616529,0.000010,1.631927
644,58.699610,0.000010,1.636151
645,58.779769,0.000010,1.640871
646,58.872071,0.000010,1.647443
647,58.965885,0.000010,1.651612
648,59.047125,0.000010,1.656438
649,59.131900,0.000010,1.662089
650,59.213787,0.000010,1.666496
651,59.295346,0.000010,1.670708
652,59.387566,0.000010,1.674960
653,59.483745,0.000010,1.679356
654,59.571442,0.000010,1.685462
655,59.667691,0.000010,1.689489
656,59.758738,0.000010,1.693945
657,59.870853,0.000010,1.700290
658,59.961834,0.000010,1.703178
659,60.044631,0.000010,1.707290
660,60.136312,0.000010,1.712857
661,60.222358,0.000010,1.715660
662,60.303169,0.000010,1.719296
663,60.399801,0.000010,1.724085
664,60.488006,0.000010,1.728287
665,60.578291,0.000010,1.732293
666,60.668089,0.000010,1.735811
667,60.776921,0.000010,1.740963
668,60.866735,0.000010,1.743820
669,60.949964,0.000010,1.747870
670,61.035484,0.000010,1.751655
671,61.120025,0.000010,1.753727
672,61.228427,0.000010,1.758347
673,61.312044,0.000010,1.762238
674,61.403230,0.000010,1.764296
675,61.492393,0.000010,1.768973
676,61.581577,0.000010,1.770777
677,61.665813,0.000010,1.773779
678,61.759369,0.000010,1.777573
679,61.842079,0.000010,1.779844
680,61.927586,0.000010,1.782969
681,62.009611,0.000010,1.785969
682,62.092194,0.000010,1.789319
683,62.186898,0.000010,1.791109
684,62.283423,0.000010,1.794010
685,62.378385,0.000010,1.797758
686,62.491535,0.000010,1.801404
687,62.591967,-0.000010,0.741913
688,62.984990,-0.000010,0.579761
689,63.071841,-0.000010,0.537751
690,63.155217,-0.000010,0.510891
691,63.237231,-0.000010,0.490560
692,63.318254,-0.000010,0.473682
693,63.418404,-0.000010,0.456470
694,63.512033,-0.000010,0.443088
695,63.605347,-0.000010,0.429683
696,63.699707,-0.000010,0.419157
697,63.796809,-0.000010,0.409329
698,63.894419,-0.000010,0.399850
699,63.976054,-0.000010,0.392540
700,64.070153,-0.000010,0.384161
701,64.151413,-0.000010,0.377982
702,64.247796,-0.000010,0.369854
703,64.334433,-0.000010,0.364751
704,64.418748,-0.000010,0.358669
705,64.501734,-0.000010,0.352754
706,64.590122,-0.000010,0.347882
707,64.671620,-0.000010,0.343346
708,64.753418,-0.000010,0.338973
709,64.839065,-0.000010,0.333721
710,64.925922,-0.000010,0.328344
711,65.016118,-0.000010,0.324847
712,65.099878,-0.000010,0.320069
713,65.187766,-0.000010,0.315220
714,65.282881,-0.000010,0.310718
715,65.404160,-0.000010,0.304723
716,65.484842,-0.000010,0.301110
717,65.564666,-0.000010,0.297375
718,65.646159,-0.000010,0.293797
719,65.726879,-0.000010,0.290237
720,65.810466,-0.000010,0.287163
721,65.898357,-0.000010,0.283859
722,65.991660,-0.000010,0.279783
723,66.084077,-0.000010,0.275146
724,66.179476,-0.000010,0.271925
725,66.265373,-0.000010,0.267658
726,66.361140,-0.000010,0.264255
727,66.456199,-0.000010,0.261020
728,66.537236,-0.000010,0.257886
729,66.630871,-0.000010,0.253617
730,66.722823,-0.000010,0.249714
731,66.807239,-0.000010,0.246251
732,66.904234,-0.000010,0.242541
733,66.999005,-0.000010,0.239928
734,67.084929,-0.000010,0.235528
735,67.173466,-0.000010,0.233366
736,67.264189,-0.000010,0.229041
737,67.344859,-0.000010,0.225892
738,67.431629,-0.000010,0.223497
739,67.516344,-0.000010,0.221070
740,67.604978,-0.000010,0.216543
741,67.688490,-0.000010,0.213550
742,67.773068,-0.000010,0.211433
743,67.863594,-0.000010,0.207393
744,67.984679,-0.000010,0.203019
745,68.080725,-0.000010,0.200343
746,68.175578,-0.000010,0.196343
747,68.272212,0.000010,0.800915
748,68.395508,0.000010,1.195916
749,68.486641,0.000010,1.306623
750,68.581783,0.000010,1.381064
751,68.666678,0.000010,1.426170
752,68.754359,0.000010,1.463069
753,68.851532,0.000010,1.491862
754,68.935178,0.000010,1.512090
755,69.024780,0.000010,1.527380
756,69.114842,0.000010,1.541724
757,69.217726,0.000010,1.554422
758,69.321036,0.000010,1.564531
759,69.416510,0.000010,1.573280
760,69.503751,0.000010,1.579405
761,69.601911,0.000010,1.587186
762,69.686364,0.000010,1.592460
763,69.768795,0.000010,1.598147
764,69.852661,0.000010,1.604420
765,69.940947,0.000010,1.610836
766,70.036631,0.000010,1.617096
767,70.139128,0.000010,1.623484
768,70.235704,0.000010,1.629243
769,70.319354,0.000010,1.634412
770,70.413603,0.000010,1.639142
771,70.498411,0.000010,1.644939
772,70.594712,0.000010,1.649759
773,70.709386,0.000010,1.655043
774,70.794078,0.000010,1.660696
775,70.879041,0.000010,1.665748
776,70.961957,0.000010,1.669883
777,71.048400,0.000010,1.673060
778,71.145326,0.000010,1.678506
779,71.248486,0.000010,1.683341
780,71.343180,0.000010,1.688939
781,71.430566,0.000010,1.692367
782,71.531611,0.000010,1.697339
783,71.623862,0.000010,1.702429
784,71.716046,0.000010,1.707233
785,71.807508,0.000010,1.710187
786,71.891283,0.000010,1.714126
787,71.974349,0.000010,1.718464
788,72.063302,0.000010,1.722689
789,72.160117,0.000010,1.727352
790,72.258603,0.000010,1.731519
791,72.354425,0.000010,1.734861
792,72.442872,0.000010,1.738925
